"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto"
"6393","null","369702","null","parchment","codex","701","1000"
"6395","null","370958","null","papyrus","codex","701","1000"
"6397","null","null","null","parchment","codex","701","1000"
"6400","null","370266","null","parchment","codex","701","1000"
"6401","null","","null","parchment","codex","701","1000"
"6409","null","null","null","parchment","codex","701","1000"
"6410","null","370957","null","papyrus","codex","701","800"
"6413","null","","null","parchment","codex","601","900"
"6438","null","108782","108782","parchment","codex","401","500"
"6439","null","108781","108781","parchment","codex","401","500"
"6449","null","130506","130506","parchment","codex","401","600"
"6450","null","130516","130516","parchment","codex","601","700"
"6455","null","370779","null","parchment","codex","701","1100"
"6457","null","null","null","parchment","codex","401","600"
"6462","null","369919","null","parchment","codex","701","1000"
"6463","null","371279","null","parchment","codex","701","1000"
"6464","null","107938","107938","parchment","codex","501","700"
"6470","null","369704","369704","parchment","codex","701","1000"
"6471","null","369703","369703","parchment","codex","701","1000"
"6472","null","108588","108588","papyrus","codex","651","750"
"6473","null","108588","108588","papyrus","codex","651","750"
"6492","null","114344","","parchment","codex","601","700"
